ClaimNumber,PolicyNumber, ClaimAmount ,LossDate,ReportDate
C904000,P103407,1163,4/2/2015,4/12/2017
C904001,P102419,1815,2/25/2016,4/13/2017
C904002,P100438,646,12/4/2016,4/13/2017
C904003,P102999,5834,11/19/2015,4/13/2017
C904004,P106833,6856,12/10/2016,4/13/2017
C904005,P101423,5035,6/21/2015,4/13/2017
C904006,P103732,679,4/10/2017,4/13/2017
C904007,P106397,5411,1/2/2017,4/13/2017
C904008,P105508,2661,10/5/2015,4/13/2017
C904009,P107594,12991,3/14/2017,4/14/2017
C904010,P100713,10374,2/2/2017,4/14/2017
C904011,P101859,1670,4/3/2016,4/14/2017
C904012,P103918,3060,4/14/2017,4/14/2017
C904013,P105015,3588,9/14/2016,4/14/2017
C904014,P103104,1016,2/24/2017,4/14/2017
C904015,P101778,4523,3/28/2017,4/14/2017
C904016,P101974,4399,9/18/2015,4/14/2017
C904017,P105149,402,2/10/2017,4/15/2017
C904018,P102027,7692,8/14/2016,4/15/2017
C904019,P101888,2757,12/13/2016,4/15/2017
C904020,P100474,1040,12/1/2015,4/15/2017
C904021,P104966,8456,8/10/2015,4/15/2017
C904022,P103513,8792,8/16/2016,4/15/2017
C904023,P108489,2270,2/16/2017,4/16/2017
C904024,P107366,692,1/3/2017,4/16/2017
C904025,P104602,10894,12/15/2015,4/16/2017
C904026,P101895,18,9/24/2016,4/16/2017
C904027,P106655,280,1/3/2017,4/16/2017
C904028,P106652,3391,1/30/2017,4/16/2017
C904029,P105965,2159,12/14/2016,4/16/2017
C904030,P106605,2755,2/19/2016,4/17/2017
C904031,P104387,2403,1/23/2017,4/17/2017
C904032,P105054,12600,7/3/2015,4/17/2017
C904033,P107669,2386,8/3/2016,4/17/2017
C904034,P100783,1706,3/22/2017,4/17/2017
C904035,P101859,313,12/15/2015,4/17/2017
C904036,P103743,1373,7/13/2016,4/17/2017
C904037,P105411,2139,6/28/2015,4/17/2017
C904038,P105032,11536,10/25/2015,4/17/2017
C904039,P105034,5937,3/24/2016,4/17/2017
C904040,P107519,5462,4/2/2017,4/17/2017
C904041,P102312,3906,10/19/2016,4/17/2017
C904042,P101814,1947,1/9/2016,4/18/2017
C904043,P100797,1069,7/22/2016,4/18/2017
C904044,P104663,4059,7/2/2016,4/18/2017
C904045,P103497,9267,1/15/2015,4/18/2017
C904046,P104296,14184,12/27/2015,4/19/2017
C904047,P106133,1085,1/12/2016,4/19/2017
C904048,P105557,5663,1/29/2017,4/19/2017
C904049,P101917,1657,7/1/2016,4/19/2017
C904050,P106574,2020,4/3/2017,4/19/2017
C904051,P101984,2170,5/2/2016,4/19/2017
C904052,P106169,11915,12/30/2016,4/20/2017
C904053,P105118,5338,1/28/2017,4/20/2017
C904054,P101460,12928,10/24/2016,4/20/2017
C904055,P106003,7345,6/14/2016,4/20/2017
C904056,P106347,1030,2/14/2017,4/20/2017
C904057,P103994,5650,10/17/2016,4/20/2017
C904058,P105168,3813,8/16/2016,4/20/2017
C904059,P105951,6376,7/18/2016,4/21/2017
C904060,P104367,6013,7/22/2015,4/21/2017
C904061,P103905,7407,1/20/2017,4/21/2017
C904062,P104844,1881,10/21/2016,4/21/2017
C904063,P103028,2967,5/19/2016,4/22/2017
C904064,P104947,156,3/8/2017,4/22/2017
C904065,P107122,2221,10/31/2016,4/22/2017
C904066,P106724,1132,3/29/2016,4/22/2017
C904067,P101961,2010,3/15/2015,4/22/2017
C904068,P103625,559,12/21/2016,4/22/2017
C904069,P100009,14423,4/4/2016,4/23/2017
C904070,P106070,391,1/10/2017,4/23/2017
C904071,P104975,8689,3/7/2015,4/23/2017
C904072,P102284,8902,4/8/2017,4/23/2017
C904073,P100364,4057,10/6/2015,4/23/2017
C904074,P105969,1896,4/14/2016,4/23/2017
C904075,P105519,585,11/20/2016,4/23/2017
C904076,P102859,2403,2/23/2017,4/23/2017
C904077,P105745,8120,2/3/2017,4/23/2017
C904078,P103847,5202,10/14/2015,4/24/2017
C904079,P101842,4159,10/23/2016,4/24/2017
C904080,P106144,3045,1/24/2017,4/24/2017
C904081,P100340,660,11/8/2015,4/25/2017
C904082,P102178,1187,1/24/2017,4/25/2017
C904083,P107854,34,1/11/2017,4/25/2017
C904084,P102071,2750,11/17/2015,4/25/2017
C904085,P102152,23421,1/8/2017,4/25/2017
C904086,P103289,11136,8/14/2016,4/25/2017
C904087,P103643,17675,3/29/2017,4/25/2017
C904088,P104435,5797,4/19/2015,4/26/2017
C904089,P103478,4472,1/18/2017,4/26/2017
C904090,P100070,21876,2/27/2015,4/26/2017
C904091,P103982,18299,10/19/2016,4/27/2017
C904092,P101277,9308,1/26/2017,4/27/2017
C904093,P100597,4664,11/2/2016,4/27/2017
C904094,P102028,29,8/29/2014,4/27/2017
C904095,P105320,992,1/4/2017,4/27/2017
C904096,P101896,1547,3/22/2017,4/28/2017
C904097,P100823,11810,2/5/2016,4/28/2017
C904098,P103269,303,4/3/2017,4/28/2017
C904099,P100428,13924,9/12/2016,4/28/2017
C904100,P107938,17284,11/29/2016,4/28/2017
C904101,P102918,5227,3/17/2017,4/28/2017
C904102,P102258,332,9/7/2016,4/28/2017
C904103,P104835,224,4/7/2017,4/29/2017
C904104,P105844,8429,4/12/2016,4/29/2017
C904105,P101452,5774,12/29/2015,4/29/2017
C904106,P101301,4073,11/10/2016,4/29/2017
C904107,P104278,759,6/2/2016,4/29/2017
C904108,P105307,2699,6/24/2016,4/29/2017
C904109,P104196,4117,3/18/2017,4/30/2017
C904110,P102532,4851,8/7/2014,4/30/2017
C904111,P104089,6398,1/15/2015,4/30/2017
C904112,P105248,4698,5/13/2015,4/30/2017
C904113,P102722,1229,2/26/2017,4/30/2017
C904114,P106190,10487,3/7/2017,5/1/2017
C904115,P105233,4748,11/22/2016,5/1/2017
C904116,P105547,2059,6/21/2015,5/1/2017
C904117,P105323,475,1/23/2017,5/1/2017
C904118,P104808,7101,8/23/2016,5/1/2017
C904119,P100988,4045,3/20/2016,5/1/2017
C904120,P105907,7509,1/18/2017,5/1/2017
C904121,P105787,7505,3/18/2017,5/1/2017
C904122,P105536,5874,12/29/2015,5/1/2017
C904123,P105122,57,8/11/2016,5/1/2017
C904124,P101898,420,12/10/2016,5/1/2017
C904125,P107622,3747,2/19/2017,5/1/2017
C904126,P101765,6081,7/23/2016,5/1/2017
C904127,P106019,7633,4/14/2016,5/2/2017
C904128,P102601,13301,6/3/2016,5/2/2017
C904129,P105249,529,11/24/2015,5/2/2017
C904130,P104162,974,6/8/2016,5/2/2017
C904131,P100204,524,2/7/2017,5/2/2017
C904132,P107058,1414,12/24/2016,5/2/2017
C904133,P102601,1772,4/17/2017,5/3/2017
C904134,P104878,106,1/24/2016,5/3/2017
C904135,P102513,5794,2/21/2017,5/3/2017
C904136,P106659,3545,1/24/2016,5/3/2017
C904137,P105570,2307,11/2/2016,5/4/2017
C904138,P106884,11399,7/16/2016,5/4/2017
C904139,P107339,3114,2/10/2017,5/4/2017
C904140,P105710,1047,2/17/2017,5/4/2017
C904141,P108321,2630,4/24/2017,5/4/2017
C904142,P106409,2483,7/14/2016,5/5/2017
C904143,P106577,4566,11/6/2016,5/5/2017
C904144,P100866,1226,7/27/2015,5/5/2017
C904145,P101651,13611,8/23/2016,5/5/2017
C904146,P105308,6044,7/25/2016,5/5/2017
C904147,P103308,10278,9/2/2016,5/6/2017
C904148,P107751,22092,3/2/2017,5/7/2017
C904149,P101343,6437,6/19/2016,5/7/2017
C904150,P104254,3919,9/21/2015,5/7/2017
C904151,P106036,5409,10/12/2016,5/7/2017
C904152,P107167,1170,1/19/2017,5/7/2017
C904153,P103645,1302,4/7/2016,5/7/2017
C904154,P100709,7714,1/1/2016,5/7/2017
C904155,P100560,4831,6/14/2015,5/7/2017
C904156,P103897,10450,9/17/2016,5/8/2017
C904157,P103919,716,11/29/2016,5/8/2017
C904158,P102447,11846,2/20/2017,5/8/2017
C904159,P105925,467,4/2/2017,5/8/2017
C904160,P105925,21164,2/6/2016,5/8/2017
C904161,P104831,30,4/19/2016,5/8/2017
C904162,P107780,1766,3/1/2017,5/9/2017
C904163,P101684,18579,4/1/2017,5/9/2017
C904164,P100722,10946,6/19/2016,5/9/2017
C904165,P106174,5525,7/10/2016,5/9/2017
C904166,P100967,706,9/8/2015,5/9/2017
C904167,P104932,13201,7/29/2015,5/10/2017
C904168,P103228,293,5/19/2015,5/10/2017
C904169,P109350,5121,4/1/2017,5/10/2017
C904170,P107437,3193,5/28/2016,5/10/2017
C904171,P106982,5924,7/16/2016,5/10/2017
C904172,P106084,938,3/17/2017,5/10/2017
C904173,P100055,5882,8/9/2016,5/10/2017
C904174,P102425,4636,8/27/2016,5/11/2017
C904175,P102743,471,1/28/2017,5/11/2017
C904176,P102486,4611,9/24/2016,5/11/2017
C904177,P105749,289,9/21/2015,5/11/2017
C904178,P106707,11421,12/26/2016,5/11/2017
C904179,P109323,5375,3/28/2017,5/11/2017
C904180,P100670,1712,1/22/2016,5/11/2017
C904181,P100140,7059,4/7/2014,5/12/2017
C904182,P106451,26789,10/9/2016,5/12/2017
C904183,P109127,397,4/4/2017,5/12/2017
C904184,P103637,7165,4/4/2017,5/13/2017
C904185,P106464,5034,7/27/2016,5/13/2017
C904186,P100376,22194,3/23/2017,5/13/2017
C904187,P101440,1375,9/6/2014,5/13/2017
C904188,P105218,382,5/13/2015,5/13/2017
C904189,P105295,6560,11/16/2016,5/14/2017
C904190,P101666,4890,5/9/2016,5/14/2017
C904191,P108585,2918,1/19/2017,5/14/2017
C904192,P103594,111,2/18/2017,5/14/2017
C904193,P100526,8591,8/6/2014,5/14/2017
C904194,P107797,4937,11/12/2016,5/14/2017
C904195,P102014,964,12/22/2016,5/15/2017
C904196,P102293,8478,8/23/2016,5/15/2017
C904197,P106083,77,8/25/2016,5/15/2017
C904198,P106637,1606,3/6/2017,5/15/2017
C904199,P108461,11540,2/18/2017,5/15/2017
C904200,P101903,4714,10/3/2016,5/15/2017
C904201,P102404,11236,2/27/2017,5/15/2017
C904202,P105917,1191,12/14/2016,5/15/2017
C904203,P103933,5276,2/11/2016,5/15/2017
C904204,P101670,3466,3/15/2017,5/16/2017
C904205,P107930,12244,5/10/2017,5/16/2017
C904206,P108155,1484,1/18/2017,5/16/2017
C904207,P105397,4769,1/27/2016,5/16/2017
C904208,P103907,3894,10/28/2016,5/16/2017
C904209,P102358,492,10/4/2015,5/16/2017
C904210,P100707,836,12/17/2016,5/16/2017
C904211,P100262,8939,4/10/2017,5/16/2017
C904212,P109145,2000,4/18/2017,5/17/2017
C904213,P100291,4331,9/21/2015,5/17/2017
C904214,P101482,831,6/21/2014,5/18/2017
C904215,P105864,4352,4/17/2017,5/18/2017
C904216,P105408,2950,3/8/2017,5/18/2017
C904217,P105320,7091,12/30/2016,5/18/2017
C904218,P100437,8309,3/24/2016,5/19/2017
C904219,P106470,1174,1/23/2017,5/19/2017
C904220,P105590,7038,11/26/2015,5/19/2017
C904221,P105067,2420,11/11/2015,5/19/2017
C904222,P106592,5946,5/4/2017,5/19/2017
C904223,P101121,1128,2/2/2016,5/19/2017
C904224,P106547,277,8/21/2016,5/20/2017
C904225,P103932,1429,5/7/2017,5/20/2017
C904226,P106235,2480,11/13/2016,5/20/2017
C904227,P107092,1176,11/29/2016,5/20/2017
C904228,P104945,3285,12/28/2015,5/20/2017
C904229,P107109,10047,12/6/2016,5/20/2017
C904230,P105950,39638,7/12/2016,5/20/2017
C904231,P103798,3650,9/7/2016,5/20/2017
C904232,P108967,826,4/13/2017,5/21/2017
C904233,P104676,9769,6/25/2016,5/21/2017
C904234,P104709,5495,1/14/2015,5/21/2017
C904235,P105105,5224,1/31/2017,5/21/2017
C904236,P108590,13,12/31/2016,5/21/2017
C904237,P103259,5904,9/24/2014,5/21/2017
C904238,P107707,10073,7/25/2016,5/22/2017
C904239,P105046,9409,8/25/2016,5/22/2017
C904240,P104646,10563,12/24/2015,5/22/2017
C904241,P101347,11635,3/25/2016,5/22/2017
C904242,P103920,1549,9/27/2016,5/22/2017
C904243,P101655,1940,4/30/2017,5/22/2017
C904244,P104443,3610,7/23/2015,5/22/2017
C904245,P106350,471,3/17/2016,5/23/2017
C904246,P106015,553,8/12/2016,5/23/2017
C904247,P106560,4489,12/3/2016,5/24/2017
C904248,P107804,3288,5/8/2017,5/24/2017
C904249,P108434,2269,2/28/2017,5/24/2017
C904250,P106655,2434,9/8/2016,5/24/2017
C904251,P105808,4151,9/27/2015,5/25/2017
C904252,P106413,2252,6/11/2016,5/25/2017
C904253,P106099,5420,8/16/2016,5/25/2017
C904254,P102515,6514,12/27/2016,5/25/2017
C904255,P100660,2444,3/31/2017,5/25/2017
C904256,P107759,4603,7/16/2016,5/25/2017
C904257,P103811,1013,1/8/2016,5/26/2017
C904258,P100998,2804,1/10/2015,5/26/2017
C904259,P107439,4626,6/4/2016,5/26/2017
C904260,P105892,2658,12/27/2016,5/26/2017
C904261,P100430,4019,12/5/2016,5/26/2017
C904262,P102009,4288,4/7/2017,5/26/2017
C904263,P102188,13584,3/27/2017,5/26/2017
C904264,P105466,13645,1/3/2017,5/26/2017
C904265,P101090,18266,2/19/2017,5/26/2017
C904266,P100181,512,1/23/2015,5/26/2017
C904267,P105550,12790,3/11/2017,5/26/2017
C904268,P105240,7062,4/1/2016,5/26/2017
C904269,P102475,4436,11/19/2016,5/26/2017
C904270,P103095,9254,1/9/2015,5/27/2017
C904271,P105989,5979,4/27/2017,5/27/2017
C904272,P103588,73,5/20/2016,5/27/2017
C904273,P102251,1157,5/10/2016,5/27/2017
C904274,P102064,9142,7/17/2016,5/27/2017
C904275,P107268,1400,7/19/2016,5/27/2017
C904276,P106003,1265,2/10/2017,5/27/2017
C904277,P102666,24639,5/3/2016,5/27/2017
C904278,P102828,2296,3/18/2017,5/28/2017
C904279,P104236,3366,9/26/2015,5/28/2017
C904280,P104807,16893,3/26/2017,5/28/2017
C904281,P102418,6764,4/26/2015,5/28/2017
C904282,P101111,167,12/21/2016,5/28/2017
C904283,P100601,17815,7/2/2016,5/28/2017
C904284,P107672,1056,12/21/2016,5/29/2017
C904285,P107214,7934,4/29/2017,5/29/2017
C904286,P104724,856,8/8/2016,5/29/2017
C904287,P106919,693,1/6/2017,5/29/2017
C904288,P105752,1354,7/19/2015,5/29/2017
C904289,P101753,1559,2/16/2017,5/29/2017
C904290,P107702,2237,2/15/2017,5/30/2017
C904291,P105480,3388,4/12/2017,5/30/2017
C904292,P103920,6352,4/22/2017,5/30/2017
C904293,P103240,2045,2/9/2015,5/30/2017
C904294,P102384,14785,10/6/2015,5/30/2017
C904295,P102014,7886,1/7/2017,5/30/2017
C904296,P104493,765,10/8/2016,5/31/2017
C904297,P106141,3287,10/23/2016,5/31/2017
C904298,P105816,1197,1/26/2017,5/31/2017
C904299,P108565,1319,3/11/2017,5/31/2017
C904300,P108110,12557,4/15/2017,5/31/2017
C904301,P101421,899,10/17/2016,5/31/2017
C904302,P104667,3450,2/12/2017,5/31/2017
C904303,P102797,5981,8/25/2016,5/31/2017
C904304,P103030,3148,3/19/2017,6/1/2017
C904305,P102104,358,1/29/2016,6/1/2017
C904306,P105786,5925,12/12/2016,6/1/2017
C904307,P101974,4618,1/11/2017,6/1/2017
C904308,P102425,9319,7/18/2016,6/2/2017
C904309,P102464,7566,5/13/2017,6/2/2017
C904310,P104313,8374,1/17/2017,6/2/2017
C904311,P104498,845,1/3/2017,6/2/2017
C904312,P108940,8839,4/19/2017,6/2/2017
C904313,P106905,3197,1/27/2017,6/3/2017
C904314,P101398,9316,8/7/2015,6/3/2017
C904315,P100687,10012,10/5/2016,6/3/2017
C904316,P104938,14447,4/15/2017,6/3/2017
C904317,P108004,4467,4/27/2017,6/4/2017
C904318,P103551,11107,5/31/2016,6/4/2017
C904319,P103079,1724,9/28/2016,6/4/2017
C904320,P104553,12870,12/29/2016,6/4/2017
C904321,P100098,995,1/19/2016,6/4/2017
C904322,P103549,666,1/31/2017,6/4/2017
C904323,P103454,2540,10/9/2014,6/4/2017
C904324,P108389,3468,3/30/2017,6/4/2017
C904325,P107271,2422,2/11/2017,6/4/2017
C904326,P102986,1418,11/25/2016,6/5/2017
C904327,P107892,6841,5/20/2017,6/5/2017
C904328,P107318,781,4/24/2017,6/5/2017
C904329,P102717,5191,6/28/2015,6/5/2017
C904330,P101402,27,8/31/2016,6/5/2017
C904331,P106823,635,9/20/2016,6/5/2017
C904332,P106939,11799,9/28/2016,6/6/2017
C904333,P107552,216,3/3/2017,6/6/2017
C904334,P106141,1751,3/19/2017,6/6/2017
C904335,P103248,1329,3/12/2015,6/6/2017
C904336,P100395,4953,7/31/2016,6/7/2017
C904337,P107927,1667,5/30/2017,6/7/2017
C904338,P100714,1195,3/30/2017,6/7/2017
C904339,P103665,567,12/17/2016,6/7/2017
C904340,P100905,4733,12/27/2016,6/7/2017
C904341,P106034,16113,10/26/2015,6/7/2017
C904342,P102364,2655,11/14/2015,6/8/2017
C904343,P106688,1567,10/24/2016,6/8/2017
C904344,P100685,851,1/6/2017,6/8/2017
C904345,P105238,411,7/4/2015,6/8/2017
C904346,P107937,1776,1/20/2017,6/9/2017
C904347,P107668,369,8/12/2016,6/9/2017
C904348,P106811,7640,4/4/2017,6/9/2017
C904349,P103066,2225,12/10/2014,6/9/2017
C904350,P106620,9836,9/26/2016,6/10/2017
C904351,P107426,4971,1/11/2017,6/10/2017
C904352,P107923,619,4/24/2017,6/10/2017
C904353,P101725,721,6/8/2016,6/10/2017
C904354,P101135,1713,1/29/2016,6/10/2017
C904355,P101671,5317,2/5/2017,6/11/2017
C904356,P102487,14898,6/20/2016,6/11/2017
C904357,P104038,3354,2/27/2015,6/11/2017
C904358,P104537,7288,5/1/2016,6/11/2017
C904359,P108411,18,12/19/2016,6/11/2017
C904360,P108580,1569,2/5/2017,6/11/2017
C904361,P104708,910,5/18/2017,6/11/2017
C904362,P102135,16104,2/5/2017,6/11/2017
C904363,P103932,875,3/15/2017,6/11/2017
C904364,P107070,8348,10/31/2016,6/11/2017
C904365,P107968,363,3/25/2017,6/12/2017
C904366,P106359,1469,3/25/2016,6/12/2017
C904367,P102733,6428,4/26/2016,6/13/2017
C904368,P100493,1969,10/5/2014,6/13/2017
C904369,P106331,8516,2/26/2017,6/13/2017
C904370,P107603,895,6/13/2017,6/13/2017
C904371,P103805,4950,12/10/2015,6/13/2017
C904372,P107904,1451,5/20/2017,6/13/2017
C904373,P103522,2183,9/7/2016,6/13/2017
C904374,P101161,8833,4/25/2017,6/14/2017
C904375,P105914,1600,3/28/2017,6/14/2017
C904376,P101606,1034,9/28/2015,6/14/2017
C904377,P108071,1140,3/7/2017,6/14/2017
C904378,P106431,88,5/27/2017,6/15/2017
C904379,P107366,3331,4/2/2017,6/15/2017
C904380,P104180,7196,3/9/2016,6/15/2017
C904381,P102949,1564,1/9/2017,6/15/2017
C904382,P104719,6484,4/15/2016,6/15/2017
C904383,P103751,2603,5/22/2016,6/15/2017
C904384,P108497,3089,3/18/2017,6/15/2017
C904385,P104491,56,7/12/2016,6/16/2017
C904386,P106858,4805,11/6/2016,6/16/2017
C904387,P106954,2708,4/28/2016,6/16/2017
C904388,P105503,2232,9/27/2016,6/16/2017
C904389,P105675,5235,8/31/2016,6/16/2017
C904390,P102846,16879,1/23/2016,6/16/2017
C904391,P102283,1149,5/6/2015,6/16/2017
C904392,P107030,5265,4/6/2017,6/17/2017
C904393,P107806,5187,4/3/2017,6/17/2017
C904394,P105668,4726,3/27/2016,6/17/2017
C904395,P109054,43,3/31/2017,6/17/2017
C904396,P108031,128,2/7/2017,6/17/2017
C904397,P100267,543,1/23/2017,6/17/2017
C904398,P101887,1569,7/31/2016,6/17/2017
C904399,P104365,2852,1/7/2016,6/17/2017
C904400,P101579,7466,11/3/2016,6/17/2017
C904401,P102747,3580,9/17/2016,6/17/2017
C904402,P109205,3439,3/29/2017,6/18/2017
C904403,P102979,1099,11/16/2016,6/18/2017
C904404,P105397,4223,4/3/2017,6/18/2017
C904405,P106717,106,5/1/2017,6/18/2017
C904406,P104517,9832,11/9/2016,6/19/2017
C904407,P103796,410,7/4/2016,6/19/2017
C904408,P102563,6429,7/21/2014,6/19/2017
C904409,P100107,3681,11/29/2015,6/19/2017
C904410,P105576,1246,2/21/2017,6/19/2017
C904411,P101951,2205,1/17/2017,6/19/2017
C904412,P106551,1819,1/22/2017,6/20/2017
C904413,P106403,847,11/9/2016,6/20/2017
C904414,P102281,3108,3/6/2017,6/20/2017
C904415,P106576,569,5/9/2017,6/20/2017
C904416,P101232,269,3/15/2017,6/20/2017
C904417,P108212,8467,10/29/2016,6/20/2017
C904418,P104472,8884,4/28/2017,6/20/2017
C904419,P103058,6656,6/18/2017,6/20/2017
C904420,P103042,5269,3/27/2015,6/20/2017
C904421,P101834,536,12/29/2016,6/20/2017
C904422,P104705,9220,5/7/2017,6/20/2017
C904423,P104797,455,10/17/2015,6/20/2017
C904424,P108666,1888,5/9/2017,6/21/2017
C904425,P101242,2805,11/5/2015,6/21/2017
C904426,P105486,20454,6/12/2017,6/22/2017
C904427,P105485,124,8/28/2016,6/22/2017
C904428,P103259,1375,6/25/2016,6/22/2017
C904429,P102973,5341,10/1/2014,6/22/2017
C904430,P105932,3076,2/7/2017,6/22/2017
C904431,P108063,351,1/6/2017,6/22/2017
C904432,P104005,2615,1/18/2016,6/22/2017
C904433,P108095,310,6/6/2017,6/22/2017
C904434,P100085,4653,4/12/2015,6/22/2017
C904435,P101396,1444,5/19/2016,6/23/2017
C904436,P100235,1453,11/20/2016,6/23/2017
C904437,P100267,220,11/25/2016,6/23/2017
C904438,P105032,1713,4/23/2017,6/23/2017
C904439,P101730,1833,7/27/2016,6/23/2017
C904440,P101428,3611,8/12/2015,6/23/2017
C904441,P107339,895,5/16/2016,6/23/2017
C904442,P103769,9670,5/15/2017,6/23/2017
C904443,P106167,800,1/16/2017,6/24/2017
C904444,P106973,16872,3/22/2016,6/24/2017
C904445,P103229,470,5/7/2017,6/24/2017
C904446,P105144,2432,5/14/2016,6/24/2017
C904447,P107691,10879,4/22/2017,6/24/2017
C904448,P102207,1843,11/29/2015,6/25/2017
C904449,P104328,9428,7/10/2016,6/25/2017
C904450,P105086,3983,1/8/2017,6/25/2017
C904451,P100463,4176,9/8/2014,6/25/2017
C904452,P106118,389,9/10/2016,6/25/2017
C904453,P108100,1791,5/11/2017,6/26/2017
C904454,P100339,2919,10/3/2016,6/26/2017
C904455,P106436,171,5/28/2017,6/26/2017
C904456,P102854,9334,12/3/2016,6/26/2017
C904457,P105168,2037,7/12/2016,6/26/2017
C904458,P107826,1281,6/19/2017,6/26/2017
C904459,P105088,347,4/12/2015,6/27/2017
C904460,P102437,2764,10/2/2016,6/27/2017
C904461,P109325,3576,3/28/2017,6/27/2017
C904462,P107694,1966,4/25/2017,6/27/2017
C904463,P108788,5530,6/12/2017,6/27/2017
C904464,P103398,7264,2/28/2017,6/27/2017
C904465,P106251,729,12/9/2015,6/27/2017
C904466,P100935,12320,8/23/2015,6/27/2017
C904467,P107623,7766,5/19/2017,6/27/2017
C904468,P104948,556,10/30/2016,6/27/2017
C904469,P109081,3520,5/20/2017,6/27/2017
C904470,P108990,9239,4/30/2017,6/28/2017
C904471,P106588,163,3/9/2017,6/28/2017
C904472,P106937,9188,3/22/2017,6/28/2017
C904473,P108073,2210,3/6/2017,6/28/2017
C904474,P101824,1530,2/15/2016,6/28/2017
C904475,P108346,5331,2/11/2017,6/29/2017
C904476,P100878,6237,4/8/2017,6/29/2017
C904477,P101096,17022,2/10/2016,6/29/2017
C904478,P106242,14596,11/23/2016,6/29/2017
C904479,P104393,18475,3/10/2017,6/29/2017
C904480,P104947,1618,5/23/2015,6/29/2017
C904481,P102190,553,6/23/2017,6/29/2017
C904482,P108396,1244,6/27/2017,6/30/2017
C904483,P107940,2289,5/31/2017,6/30/2017
C904484,P102491,1140,2/28/2015,6/30/2017
C904485,P106816,9026,12/13/2016,6/30/2017
C904486,P102601,9242,3/7/2017,6/30/2017
C904487,P105384,473,4/12/2017,7/1/2017
C904488,P106132,1750,9/9/2016,7/1/2017
C904489,P105638,3767,10/27/2016,7/1/2017
C904490,P104949,7436,3/6/2016,7/1/2017
C904491,P109208,15282,5/21/2017,7/1/2017
C904492,P108381,9039,6/2/2017,7/1/2017
C904493,P100544,1750,11/1/2016,7/2/2017
C904494,P101407,580,1/30/2016,7/2/2017
C904495,P100116,198,5/31/2016,7/2/2017
C904496,P108153,147,2/12/2017,7/2/2017
C904497,P100838,2860,12/4/2015,7/2/2017
C904498,P101146,4264,5/30/2017,7/2/2017
C904499,P102380,5901,1/12/2017,7/2/2017
C904500,P106136,10175,5/6/2017,7/2/2017
C904501,P104857,10112,12/26/2016,7/2/2017
C904502,P104481,5130,6/7/2017,7/3/2017
C904503,P101680,4067,1/12/2017,7/3/2017
C904504,P104138,1727,8/8/2015,7/3/2017
C904505,P103532,4265,5/20/2015,7/3/2017
C904506,P100117,5717,5/17/2016,7/3/2017
C904507,P106540,4883,8/27/2016,7/3/2017
C904508,P106135,1294,11/30/2016,7/3/2017
C904509,P101042,6280,2/25/2016,7/3/2017
C904510,P108251,12059,5/2/2017,7/3/2017
C904511,P102284,9383,4/3/2017,7/3/2017
C904512,P107951,3457,9/21/2016,7/3/2017
C904513,P104055,400,11/17/2015,7/4/2017
C904514,P107286,5500,5/15/2017,7/4/2017
C904515,P105334,10353,7/4/2015,7/4/2017
C904516,P104805,5787,3/22/2017,7/4/2017
C904517,P103716,1410,3/24/2017,7/4/2017
C904518,P105786,4258,4/2/2017,7/4/2017
C904519,P103148,1261,5/28/2017,7/4/2017
C904520,P105235,11148,7/4/2017,7/4/2017
C904521,P101288,6210,2/6/2017,7/5/2017
C904522,P108304,6100,6/7/2017,7/5/2017
C904523,P106692,6837,11/18/2016,7/5/2017
C904524,P108192,6875,5/6/2017,7/5/2017
C904525,P106369,505,6/11/2017,7/5/2017
C904526,P104865,4223,9/8/2016,7/5/2017
C904527,P105676,290,6/1/2016,7/5/2017
C904528,P105759,6423,4/6/2017,7/5/2017
C904529,P107987,225,3/12/2017,7/6/2017
C904530,P102432,11978,7/26/2015,7/6/2017
C904531,P102695,3790,11/13/2016,7/6/2017
C904532,P100150,3090,7/22/2016,7/7/2017
C904533,P103300,3371,12/1/2015,7/7/2017
C904534,P107413,3842,7/22/2016,7/7/2017
C904535,P104793,210,12/14/2016,7/7/2017
C904536,P102152,11115,3/22/2015,7/7/2017
C904537,P103547,226,5/22/2017,7/7/2017
C904538,P100535,16963,3/21/2017,7/8/2017
C904539,P106864,1981,4/27/2017,7/8/2017
C904540,P101643,3255,6/8/2017,7/8/2017
C904541,P106232,1933,12/17/2016,7/8/2017
C904542,P104315,5030,5/19/2017,7/8/2017
C904543,P107728,8161,3/29/2017,7/8/2017
C904544,P101479,2398,12/18/2014,7/8/2017
C904545,P107927,656,4/25/2017,7/8/2017
C904546,P104491,4389,10/10/2016,7/8/2017
C904547,P104465,1301,11/4/2016,7/8/2017
C904548,P107343,1048,7/18/2016,7/9/2017
C904549,P104149,791,5/9/2015,7/9/2017
C904550,P106381,1543,1/9/2017,7/9/2017
C904551,P103377,1330,12/21/2015,7/9/2017
C904552,P104589,9129,2/25/2017,7/9/2017
C904553,P102687,2661,5/10/2016,7/9/2017
C904554,P102148,1663,7/17/2015,7/9/2017
C904555,P104328,12830,12/17/2016,7/10/2017
C904556,P107599,8326,7/7/2016,7/10/2017
C904557,P107803,2733,4/26/2017,7/10/2017
C904558,P107383,3935,5/15/2016,7/11/2017
C904559,P106733,3700,6/13/2016,7/11/2017
C904560,P104921,10907,7/4/2017,7/11/2017
C904561,P109511,1472,6/22/2017,7/11/2017
C904562,P106245,4712,7/6/2016,7/11/2017
