PolicyNumber,PolicyStartDate,DrivingFrequency,County
P108317,10/12/2016,High,Ventura
P108318,10/12/2016,High,Orange
P103731,10/13/2016,Medium,Ventura
P103732,10/13/2016,Low,Riverside
P103736,10/13/2016,High,San Bernadino
P103737,10/13/2016,High,San Bernadino
P103740,10/13/2016,Low,Ventura
P103741,10/13/2016,Medium,Riverside
P103742,10/13/2016,Low,Ventura
P106171,10/13/2016,High,Orange
P108319,10/13/2016,High,Los Angeles
P108320,10/13/2016,High,Ventura
P108321,10/13/2016,High,Orange
P108322,10/13/2016,High,Ventura
P108323,10/13/2016,High,Los Angeles
P103745,10/14/2016,High,Los Angeles
P103747,10/14/2016,Medium,Riverside
P103750,10/14/2016,Low,Ventura
P103751,10/14/2016,Low,Ventura
P103752,10/14/2016,Medium,San Bernadino
P103753,10/14/2016,Medium,Los Angeles
P106172,10/14/2016,High,San Bernadino
P106173,10/14/2016,High,Ventura
P106174,10/14/2016,High,San Bernadino
P106175,10/14/2016,High,Los Angeles
P106176,10/14/2016,High,Los Angeles
P106177,10/14/2016,High,Los Angeles
P108324,10/14/2016,High,Riverside
P108325,10/14/2016,High,Los Angeles
P108326,10/14/2016,High,Los Angeles
P103754,10/15/2016,High,Los Angeles
P103755,10/15/2016,High,Los Angeles
P103757,10/15/2016,Medium,Riverside
P103758,10/15/2016,Medium,Riverside
P103759,10/15/2016,Medium,Riverside
P103760,10/15/2016,Low,Riverside
P103761,10/15/2016,Medium,Orange
P103762,10/15/2016,High,Riverside
P103763,10/15/2016,Medium,Los Angeles
P106178,10/15/2016,High,San Bernadino
P106179,10/15/2016,High,San Bernadino
P106181,10/15/2016,High,Riverside
P108327,10/15/2016,High,San Bernadino
P108328,10/15/2016,High,Los Angeles
P108329,10/15/2016,High,Los Angeles
P108330,10/15/2016,High,San Bernadino
P108331,10/15/2016,High,Ventura
P103768,10/16/2016,Low,Los Angeles
P103769,10/16/2016,Medium,Riverside
P103771,10/16/2016,High,Riverside
P103772,10/16/2016,High,Riverside
P103774,10/16/2016,High,San Bernadino
P106182,10/16/2016,High,Ventura
P106183,10/16/2016,High,Riverside
P106184,10/16/2016,High,Orange
P108332,10/16/2016,High,Ventura
P103777,10/17/2016,Low,Ventura
P103780,10/17/2016,Medium,San Bernadino
P103781,10/17/2016,Medium,Los Angeles
P103782,10/17/2016,High,Riverside
P103784,10/17/2016,High,Ventura
P103785,10/17/2016,Medium,Ventura
P106186,10/17/2016,High,Ventura
P106187,10/17/2016,High,Riverside
P106190,10/17/2016,High,San Bernadino
P106191,10/17/2016,High,Los Angeles
P108333,10/17/2016,High,Orange
P108334,10/17/2016,High,Riverside
P103787,10/18/2016,High,San Bernadino
P103789,10/18/2016,Medium,Riverside
P103791,10/18/2016,High,Ventura
P103795,10/18/2016,Medium,Los Angeles
P103797,10/18/2016,Low,Riverside
P103798,10/18/2016,Low,Orange
P103799,10/18/2016,Low,Riverside
P103801,10/18/2016,Low,San Bernadino
P106192,10/18/2016,High,Los Angeles
P106194,10/18/2016,High,Ventura
P106195,10/18/2016,High,Riverside
P106197,10/18/2016,High,Riverside
P108335,10/18/2016,High,San Bernadino
P108336,10/18/2016,High,Orange
P108337,10/18/2016,High,Riverside
P108338,10/18/2016,High,San Bernadino
P108339,10/18/2016,High,Ventura
P108340,10/18/2016,High,Los Angeles
P108341,10/18/2016,High,Ventura
P108342,10/18/2016,High,Ventura
P108343,10/18/2016,High,Ventura
P108344,10/18/2016,High,Ventura
P103805,10/19/2016,Low,Los Angeles
P103807,10/19/2016,Low,Riverside
P103809,10/19/2016,Low,Ventura
P103810,10/19/2016,Low,Los Angeles
P103811,10/19/2016,Low,Los Angeles
P103813,10/19/2016,Low,San Bernadino
P103816,10/19/2016,Low,Los Angeles
P106198,10/19/2016,High,San Bernadino
P106199,10/19/2016,High,Los Angeles
P106200,10/19/2016,High,San Bernadino
P106201,10/19/2016,High,Riverside
P106202,10/19/2016,High,Riverside
P108345,10/19/2016,High,San Bernadino
P108346,10/19/2016,High,Los Angeles
P108347,10/19/2016,High,Los Angeles
P108348,10/19/2016,High,Riverside
P108349,10/19/2016,High,San Bernadino
P108350,10/19/2016,High,San Bernadino
P108351,10/19/2016,High,Los Angeles
P103821,10/20/2016,Low,Orange
P103822,10/20/2016,Low,Ventura
P103826,10/20/2016,Low,Los Angeles
P103827,10/20/2016,Low,Los Angeles
P103829,10/20/2016,Low,Los Angeles
P103830,10/20/2016,Low,Los Angeles
P103832,10/20/2016,Low,Ventura
P106203,10/20/2016,High,Orange
P106205,10/20/2016,High,Los Angeles
P106206,10/20/2016,High,Los Angeles
P106208,10/20/2016,High,San Bernadino
P106209,10/20/2016,High,Los Angeles
P106210,10/20/2016,High,San Bernadino
P108352,10/20/2016,High,Los Angeles
P108353,10/20/2016,High,Los Angeles
P108354,10/20/2016,High,San Bernadino
P108355,10/20/2016,High,Riverside
P108356,10/20/2016,High,Orange
P108357,10/20/2016,High,Ventura
P108358,10/20/2016,High,Orange
P103833,10/21/2016,Low,Riverside
P103834,10/21/2016,Low,San Bernadino
P103835,10/21/2016,Low,Riverside
P103836,10/21/2016,Low,Orange
P103838,10/21/2016,Low,Ventura
P103840,10/21/2016,Low,San Bernadino
P103841,10/21/2016,Low,Ventura
P106212,10/21/2016,High,Ventura
P106214,10/21/2016,High,Ventura
P106215,10/21/2016,High,Riverside
P106216,10/21/2016,High,San Bernadino
P108359,10/21/2016,High,San Bernadino
P108360,10/21/2016,High,Los Angeles
P108361,10/21/2016,High,Los Angeles
P108362,10/21/2016,High,Riverside
P108363,10/21/2016,High,Ventura
P108364,10/21/2016,High,Orange
P108365,10/21/2016,High,San Bernadino
P108366,10/21/2016,High,Orange
P108367,10/21/2016,High,San Bernadino
P103844,10/22/2016,Low,Los Angeles
P103845,10/22/2016,Low,San Bernadino
P103846,10/22/2016,Low,Los Angeles
P103847,10/22/2016,Low,San Bernadino
P103848,10/22/2016,Low,San Bernadino
P103849,10/22/2016,Low,Los Angeles
P106217,10/22/2016,High,Orange
P106220,10/22/2016,High,Ventura
P108368,10/22/2016,High,Los Angeles
P108369,10/22/2016,High,Los Angeles
P108370,10/22/2016,High,San Bernadino
P108371,10/22/2016,High,San Bernadino
P108372,10/22/2016,High,Orange
P108373,10/22/2016,High,Ventura
P108374,10/22/2016,High,San Bernadino
P103850,10/23/2016,Low,Los Angeles
P103852,10/23/2016,Low,Los Angeles
P103853,10/23/2016,Low,Los Angeles
P103854,10/23/2016,Low,Los Angeles
P103855,10/23/2016,Low,Orange
P103857,10/23/2016,Low,Ventura
P103859,10/23/2016,Low,Ventura
P103860,10/23/2016,Low,San Bernadino
P103861,10/23/2016,Low,Los Angeles
P103862,10/23/2016,Low,Orange
P103863,10/23/2016,Low,Riverside
P106222,10/23/2016,High,San Bernadino
P106223,10/23/2016,High,Riverside
P108375,10/23/2016,High,Los Angeles
P108376,10/23/2016,High,Los Angeles
P108377,10/23/2016,High,Riverside
P108378,10/23/2016,High,Ventura
P108379,10/23/2016,High,San Bernadino
P108380,10/23/2016,High,Los Angeles
P103865,10/24/2016,Low,Riverside
P103867,10/24/2016,Low,Riverside
P103870,10/24/2016,Low,Ventura
P103871,10/24/2016,Low,Riverside
P106224,10/24/2016,High,Ventura
P106225,10/24/2016,High,Riverside
P106226,10/24/2016,High,San Bernadino
P106227,10/24/2016,High,Orange
P106228,10/24/2016,High,Riverside
P106229,10/24/2016,High,Los Angeles
P106230,10/24/2016,High,Ventura
P106231,10/24/2016,High,San Bernadino
P106232,10/24/2016,High,Los Angeles
P108381,10/24/2016,High,Los Angeles
P108382,10/24/2016,High,Riverside
P108383,10/24/2016,High,San Bernadino
P108384,10/24/2016,High,Orange
P108385,10/24/2016,High,San Bernadino
P108386,10/24/2016,High,Los Angeles
P108387,10/24/2016,High,Orange
P108388,10/24/2016,High,Ventura
P103872,10/25/2016,Low,Orange
P103873,10/25/2016,Low,Orange
P103878,10/25/2016,Low,San Bernadino
P103880,10/25/2016,Low,Los Angeles
P103881,10/25/2016,Low,Los Angeles
P103885,10/25/2016,Low,Los Angeles
P106233,10/25/2016,High,Riverside
P106234,10/25/2016,High,Los Angeles
P108389,10/25/2016,High,Ventura
P108390,10/25/2016,High,San Bernadino
P108391,10/25/2016,High,Los Angeles
P108392,10/25/2016,High,San Bernadino
P103888,10/26/2016,Low,Ventura
P103889,10/26/2016,Low,San Bernadino
P103890,10/26/2016,High,Ventura
P103894,10/26/2016,Low,Los Angeles
P103895,10/26/2016,Low,Ventura
P103897,10/26/2016,Low,San Bernadino
P103898,10/26/2016,Low,San Bernadino
P103900,10/26/2016,Low,Ventura
P103901,10/26/2016,Low,Riverside
P103902,10/26/2016,Low,Orange
P103903,10/26/2016,Low,Riverside
P103904,10/26/2016,Low,Riverside
P103905,10/26/2016,Low,Riverside
P106235,10/26/2016,High,Los Angeles
P106237,10/26/2016,High,Orange
P108393,10/26/2016,High,Orange
P108394,10/26/2016,High,Los Angeles
P108395,10/26/2016,High,Riverside
P108396,10/26/2016,High,Riverside
P108397,10/26/2016,High,Riverside
P103906,10/27/2016,Low,Riverside
P103907,10/27/2016,Low,Ventura
P103911,10/27/2016,Low,Riverside
P103912,10/27/2016,Low,Riverside
P103913,10/27/2016,Low,Orange
P103914,10/27/2016,Low,Orange
P103915,10/27/2016,Low,San Bernadino
P103916,10/27/2016,Low,San Bernadino
P103918,10/27/2016,Low,Los Angeles
P103919,10/27/2016,Low,Riverside
P103920,10/27/2016,Low,Ventura
P106238,10/27/2016,High,Orange
P106239,10/27/2016,High,Los Angeles
P108398,10/27/2016,High,Los Angeles
P108399,10/27/2016,High,San Bernadino
P108400,10/27/2016,High,San Bernadino
P108401,10/27/2016,High,San Bernadino
P108402,10/27/2016,High,San Bernadino
P108403,10/27/2016,High,Orange
P108404,10/27/2016,High,Riverside
P103921,10/28/2016,Low,Orange
P103923,10/28/2016,Low,Riverside
P103924,10/28/2016,Low,Orange
P103925,10/28/2016,Low,Los Angeles
P103928,10/28/2016,Low,San Bernadino
P103929,10/28/2016,Low,San Bernadino
P103931,10/28/2016,Low,San Bernadino
P103932,10/28/2016,Low,Riverside
P103933,10/28/2016,Low,Ventura
P103936,10/28/2016,Low,San Bernadino
P106241,10/28/2016,High,Los Angeles
P106242,10/28/2016,High,Orange
P108405,10/28/2016,High,San Bernadino
P108406,10/28/2016,High,Ventura
P108407,10/28/2016,High,Los Angeles
P103937,10/29/2016,Low,Riverside
P103938,10/29/2016,Low,Los Angeles
P103939,10/29/2016,Low,San Bernadino
P103941,10/29/2016,Low,Los Angeles
P103945,10/29/2016,Low,Ventura
P103946,10/29/2016,Low,Ventura
P103948,10/29/2016,Low,Ventura
P103949,10/29/2016,Low,Los Angeles
P103950,10/29/2016,Low,San Bernadino
P103952,10/29/2016,Low,Los Angeles
P103953,10/29/2016,Low,Riverside
P103954,10/29/2016,Low,Los Angeles
P103956,10/29/2016,Low,Ventura
P108408,10/29/2016,High,San Bernadino
P108409,10/29/2016,High,San Bernadino
P108410,10/29/2016,High,Ventura
P103958,10/30/2016,Low,Los Angeles
P103959,10/30/2016,Low,Ventura
P103961,10/30/2016,Low,Orange
P103963,10/30/2016,Low,San Bernadino
P103965,10/30/2016,Low,Ventura
P103966,10/30/2016,Low,Ventura
P103971,10/30/2016,Low,Los Angeles
P106244,10/30/2016,High,Orange
P106246,10/30/2016,High,San Bernadino
P106247,10/30/2016,High,San Bernadino
P108411,10/30/2016,High,Orange
P108412,10/30/2016,High,San Bernadino
P108413,10/30/2016,High,Ventura
P108414,10/30/2016,High,Los Angeles
P108415,10/30/2016,High,Ventura
P108416,10/30/2016,High,Los Angeles
P103974,10/31/2016,Low,Ventura
P103979,10/31/2016,Low,Ventura
P103981,10/31/2016,Low,Orange
P103982,10/31/2016,Low,Riverside
P103983,10/31/2016,Low,Los Angeles
P103984,10/31/2016,Low,Orange
P103986,10/31/2016,Low,Orange
P103988,10/31/2016,Low,Ventura
P103992,10/31/2016,Low,Ventura
P106249,10/31/2016,High,Riverside
P106251,10/31/2016,High,Orange
P106252,10/31/2016,High,Ventura
P106253,10/31/2016,High,Los Angeles
P108417,10/31/2016,High,Riverside
P108418,10/31/2016,High,Orange
P108419,10/31/2016,High,Los Angeles
P108420,10/31/2016,High,Ventura
P108421,10/31/2016,High,Los Angeles
P108422,10/31/2016,High,Los Angeles
P108423,10/31/2016,High,Orange
P108424,10/31/2016,High,Ventura
P108425,10/31/2016,High,Riverside
P103994,11/1/2016,Low,Los Angeles
P103995,11/1/2016,Low,San Bernadino
P103996,11/1/2016,Low,Riverside
P103997,11/1/2016,Low,San Bernadino
P106257,11/1/2016,High,Riverside
P108426,11/1/2016,High,San Bernadino
P108427,11/1/2016,High,Ventura
P108428,11/1/2016,High,Ventura
P104006,11/2/2016,Low,Los Angeles
P104007,11/2/2016,Low,San Bernadino
P104008,11/2/2016,Low,Riverside
P104014,11/2/2016,Low,Riverside
P104016,11/2/2016,Low,San Bernadino
P106258,11/2/2016,High,Los Angeles
P106259,11/2/2016,High,San Bernadino
P106261,11/2/2016,High,Ventura
P108429,11/2/2016,High,Orange
P108430,11/2/2016,High,Los Angeles
P108431,11/2/2016,High,Los Angeles
P104017,11/3/2016,Low,San Bernadino
P104018,11/3/2016,Low,San Bernadino
P104019,11/3/2016,Low,Orange
P104021,11/3/2016,Low,Ventura
P104023,11/3/2016,Low,Ventura
P104024,11/3/2016,Low,San Bernadino
P104025,11/3/2016,Low,San Bernadino
P104026,11/3/2016,Low,Orange
P106263,11/3/2016,High,Los Angeles
P106264,11/3/2016,High,Riverside
P106265,11/3/2016,High,Los Angeles
P106266,11/3/2016,High,Ventura
P108432,11/3/2016,High,Riverside
P108433,11/3/2016,High,Los Angeles
P108434,11/3/2016,High,Ventura
P104027,11/4/2016,Low,San Bernadino
P104028,11/4/2016,Low,Orange
P104032,11/4/2016,Low,San Bernadino
P104033,11/4/2016,Low,Orange
P104035,11/4/2016,Low,Ventura
P104037,11/4/2016,Low,Los Angeles
P104039,11/4/2016,Low,Orange
P104040,11/4/2016,Low,Riverside
P104043,11/4/2016,Low,Riverside
P106269,11/4/2016,High,San Bernadino
P106271,11/4/2016,High,Orange
P106272,11/4/2016,High,Ventura
P108435,11/4/2016,High,Los Angeles
P108436,11/4/2016,High,Los Angeles
P108437,11/4/2016,High,San Bernadino
P108438,11/4/2016,High,Los Angeles
P104047,11/5/2016,Low,Orange
P104049,11/5/2016,Low,San Bernadino
P106273,11/5/2016,High,Ventura
P106274,11/5/2016,High,San Bernadino
P106276,11/5/2016,High,Ventura
P106277,11/5/2016,High,Orange
P106278,11/5/2016,High,Ventura
P106279,11/5/2016,High,Los Angeles
P108439,11/5/2016,High,San Bernadino
P108440,11/5/2016,High,Orange
P108441,11/5/2016,High,Orange
P108442,11/5/2016,High,Orange
P108443,11/5/2016,High,Ventura
P104051,11/6/2016,Low,Ventura
P104052,11/6/2016,Low,San Bernadino
P104055,11/6/2016,Low,Los Angeles
P104057,11/6/2016,Low,Ventura
P104060,11/6/2016,Low,San Bernadino
P106281,11/6/2016,High,Riverside
P106282,11/6/2016,High,Riverside
P106284,11/6/2016,High,Los Angeles
P106285,11/6/2016,High,Riverside
P106286,11/6/2016,High,Los Angeles
P106287,11/6/2016,High,Orange
P106288,11/6/2016,High,Ventura
P108444,11/6/2016,High,Riverside
P108445,11/6/2016,High,Los Angeles
P108446,11/6/2016,High,Los Angeles
P108447,11/6/2016,High,Ventura
P108448,11/6/2016,High,Los Angeles
P108449,11/6/2016,High,San Bernadino
P104061,11/7/2016,Low,Los Angeles
P104062,11/7/2016,Low,Los Angeles
P104064,11/7/2016,Low,San Bernadino
P104066,11/7/2016,Low,Orange
P104068,11/7/2016,Low,Orange
P104070,11/7/2016,Low,Riverside
P104071,11/7/2016,Low,Los Angeles
P104072,11/7/2016,Low,Los Angeles
P104073,11/7/2016,Low,Los Angeles
P104074,11/7/2016,Low,Los Angeles
P104075,11/7/2016,Low,Riverside
P106289,11/7/2016,High,San Bernadino
P106290,11/7/2016,High,Los Angeles
P108450,11/7/2016,High,Orange
P108451,11/7/2016,High,San Bernadino
P108452,11/7/2016,High,Ventura
P108453,11/7/2016,High,Riverside
P108454,11/7/2016,High,Orange
P108455,11/7/2016,High,San Bernadino
P108456,11/7/2016,High,San Bernadino
P108457,11/7/2016,High,Orange
P108458,11/7/2016,High,San Bernadino
P108459,11/7/2016,High,Riverside
P108460,11/7/2016,High,Orange
P108461,11/7/2016,High,Riverside
P104080,11/8/2016,Low,San Bernadino
P104081,11/8/2016,Low,San Bernadino
P104082,11/8/2016,Low,Los Angeles
P104083,11/8/2016,Low,Los Angeles
P104084,11/8/2016,Low,Orange
P104085,11/8/2016,Low,Ventura
P104087,11/8/2016,Low,San Bernadino
P104089,11/8/2016,Low,San Bernadino
P104090,11/8/2016,Low,Los Angeles
P104091,11/8/2016,Low,San Bernadino
P104092,11/8/2016,Low,Riverside
P104095,11/8/2016,Low,San Bernadino
P104097,11/8/2016,Low,Riverside
P104098,11/8/2016,Low,Los Angeles
P106292,11/8/2016,High,Ventura
P106293,11/8/2016,High,Los Angeles
P106294,11/8/2016,High,San Bernadino
P106295,11/8/2016,High,Los Angeles
P106296,11/8/2016,High,Orange
P108462,11/8/2016,High,Los Angeles
P108463,11/8/2016,High,Riverside
P108464,11/8/2016,High,Ventura
P108465,11/8/2016,High,Los Angeles
P104099,11/9/2016,Low,San Bernadino
P104103,11/9/2016,Low,Los Angeles
P104107,11/9/2016,Low,Ventura
P104108,11/9/2016,Low,Orange
P104111,11/9/2016,Low,Riverside
P104112,11/9/2016,Low,Orange
P104113,11/9/2016,Low,Los Angeles
P104114,11/9/2016,Low,Riverside
P106297,11/9/2016,High,San Bernadino
P108466,11/9/2016,High,San Bernadino
P108467,11/9/2016,High,Los Angeles
P108468,11/9/2016,High,Los Angeles
P108469,11/9/2016,High,San Bernadino
P108470,11/9/2016,High,Ventura
P108471,11/9/2016,High,Los Angeles
P104116,11/10/2016,Low,Orange
P104117,11/10/2016,Low,Riverside
P104118,11/10/2016,Low,Los Angeles
P104122,11/10/2016,Low,San Bernadino
P104123,11/10/2016,Low,Los Angeles
P104124,11/10/2016,Low,Los Angeles
P104126,11/10/2016,Low,Riverside
P104127,11/10/2016,Low,San Bernadino
P104130,11/10/2016,Low,Los Angeles
P106299,11/10/2016,High,Los Angeles
P106301,11/10/2016,High,Ventura
P106302,11/10/2016,High,Orange
P106303,11/10/2016,High,Los Angeles
P108472,11/10/2016,High,Ventura
P108473,11/10/2016,High,Los Angeles
P108474,11/10/2016,High,Ventura
P108475,11/10/2016,High,Riverside
P108476,11/10/2016,High,San Bernadino
P108477,11/10/2016,High,Riverside
P108478,11/10/2016,High,Ventura
P108479,11/10/2016,High,Los Angeles
P104132,11/11/2016,Low,Los Angeles
P104133,11/11/2016,Low,Los Angeles
P104135,11/11/2016,Low,Riverside
P104136,11/11/2016,Low,Ventura
P104139,11/11/2016,Low,Los Angeles
P106304,11/11/2016,High,Los Angeles
P106306,11/11/2016,High,Los Angeles
P108480,11/11/2016,High,San Bernadino
P108481,11/11/2016,High,San Bernadino
P108482,11/11/2016,High,San Bernadino
P108483,11/11/2016,High,Los Angeles
P104141,11/12/2016,Low,Los Angeles
P104144,11/12/2016,Low,Orange
P104148,11/12/2016,Low,Riverside
P106308,11/12/2016,High,Ventura
P106310,11/12/2016,High,Ventura
P106311,11/12/2016,High,Riverside
P106312,11/12/2016,High,San Bernadino
P106313,11/12/2016,High,Riverside
P108484,11/12/2016,High,Ventura
P108485,11/12/2016,High,Riverside
P108486,11/12/2016,High,Orange
P108487,11/12/2016,High,Los Angeles
P108488,11/12/2016,High,Los Angeles
P104150,11/13/2016,Low,Orange
P104152,11/13/2016,Low,San Bernadino
P104153,11/13/2016,Low,San Bernadino
P104155,11/13/2016,Low,Los Angeles
P104160,11/13/2016,Low,Los Angeles
P104161,11/13/2016,Low,San Bernadino
P104163,11/13/2016,Low,Riverside
P104164,11/13/2016,Low,Riverside
P104165,11/13/2016,Low,Los Angeles
P106315,11/13/2016,High,San Bernadino
P106316,11/13/2016,High,Orange
P106317,11/13/2016,High,Riverside
P106318,11/13/2016,High,San Bernadino
P108489,11/13/2016,High,Orange
P108490,11/13/2016,High,San Bernadino
P108491,11/13/2016,High,Ventura
P108492,11/13/2016,High,San Bernadino
P108493,11/13/2016,High,San Bernadino
P104166,11/14/2016,Low,Los Angeles
P104167,11/14/2016,Low,Orange
P104169,11/14/2016,Low,Ventura
P104174,11/14/2016,Low,Orange
P104175,11/14/2016,Low,Ventura
P104177,11/14/2016,Low,Ventura
P104178,11/14/2016,Low,Riverside
P104179,11/14/2016,Low,Los Angeles
P104180,11/14/2016,Low,Los Angeles
P104181,11/14/2016,Low,San Bernadino
P104182,11/14/2016,Low,Los Angeles
P106320,11/14/2016,High,Los Angeles
P106321,11/14/2016,High,Ventura
P106322,11/14/2016,High,Orange
P108494,11/14/2016,High,San Bernadino
P108495,11/14/2016,High,Orange
P108496,11/14/2016,High,San Bernadino
P108497,11/14/2016,High,Ventura
P108498,11/14/2016,High,San Bernadino
P108499,11/14/2016,High,Ventura
P104183,11/15/2016,Low,Los Angeles
P104184,11/15/2016,Low,Orange
P104185,11/15/2016,Low,Ventura
P106323,11/15/2016,High,Orange
P106324,11/15/2016,High,Riverside
P106325,11/15/2016,High,Ventura
P106326,11/15/2016,High,Ventura
P108500,11/15/2016,High,Los Angeles
P108501,11/15/2016,High,Los Angeles
P108502,11/15/2016,High,Riverside
P108503,11/15/2016,High,San Bernadino
P108504,11/15/2016,High,Riverside
P108505,11/15/2016,High,Los Angeles
P108506,11/15/2016,High,Los Angeles
P104187,11/16/2016,Low,San Bernadino
P104188,11/16/2016,Low,Orange
P104191,11/16/2016,Low,Riverside
P104193,11/16/2016,Low,Los Angeles
P104194,11/16/2016,Low,Los Angeles
P104195,11/16/2016,Low,Riverside
P104196,11/16/2016,Low,Ventura
P104198,11/16/2016,Low,Orange
P104200,11/16/2016,Low,Los Angeles
P104201,11/16/2016,Low,Orange
P106329,11/16/2016,High,Orange
P106331,11/16/2016,High,Los Angeles
P106332,11/16/2016,High,Los Angeles
P106333,11/16/2016,High,Los Angeles
P108507,11/16/2016,High,Riverside
P108508,11/16/2016,High,San Bernadino
P108509,11/16/2016,High,Orange
P108510,11/16/2016,High,Riverside
P108511,11/16/2016,High,Riverside
P108512,11/16/2016,High,Riverside
P104205,11/17/2016,Low,Riverside
P104207,11/17/2016,Low,Riverside
P104208,11/17/2016,Low,Riverside
P104210,11/17/2016,Low,San Bernadino
P104211,11/17/2016,Low,Los Angeles
P104213,11/17/2016,Low,San Bernadino
P104214,11/17/2016,Low,Los Angeles
P104217,11/17/2016,Low,Ventura
P106334,11/17/2016,High,San Bernadino
P106336,11/17/2016,High,Riverside
P106337,11/17/2016,High,Los Angeles
P108513,11/17/2016,High,San Bernadino
P108514,11/17/2016,High,Riverside
P108515,11/17/2016,High,Riverside
P108516,11/17/2016,High,San Bernadino
P108517,11/17/2016,High,Orange
P108518,11/17/2016,High,Ventura
P108519,11/17/2016,High,Ventura
P108520,11/17/2016,High,Orange
P104219,11/18/2016,Low,Los Angeles
P104220,11/18/2016,Low,Ventura
P104221,11/18/2016,Low,Los Angeles
P104223,11/18/2016,Low,Orange
P104225,11/18/2016,Low,Ventura
P104226,11/18/2016,Low,Los Angeles
P104228,11/18/2016,Low,Los Angeles
P104229,11/18/2016,Low,Ventura
P104231,11/18/2016,Low,Los Angeles
P104232,11/18/2016,Low,San Bernadino
P104233,11/18/2016,Low,Orange
P106340,11/18/2016,High,Ventura
P106342,11/18/2016,High,Los Angeles
P106343,11/18/2016,High,Los Angeles
P106344,11/18/2016,High,Los Angeles
P106345,11/18/2016,High,Riverside
P106346,11/18/2016,High,San Bernadino
P106347,11/18/2016,High,Orange
P106348,11/18/2016,High,Orange
P108521,11/18/2016,High,Riverside
P108522,11/18/2016,High,Los Angeles
P108523,11/18/2016,High,Orange
P108524,11/18/2016,High,Ventura
P108525,11/18/2016,High,Los Angeles
P108526,11/18/2016,High,San Bernadino
P108527,11/18/2016,High,Los Angeles
P104238,11/19/2016,Low,Los Angeles
P104243,11/19/2016,Low,Riverside
P104244,11/19/2016,Low,Riverside
P106349,11/19/2016,High,San Bernadino
P106350,11/19/2016,High,Los Angeles
P106351,11/19/2016,High,Los Angeles
P108528,11/19/2016,High,San Bernadino
P108529,11/19/2016,High,San Bernadino
P108530,11/19/2016,High,Orange
P108531,11/19/2016,High,Riverside
P104245,11/20/2016,Low,Los Angeles
P104248,11/20/2016,Low,Riverside
P104249,11/20/2016,Low,San Bernadino
P104251,11/20/2016,Low,Los Angeles
P104252,11/20/2016,Low,San Bernadino
P104253,11/20/2016,Low,Ventura
P104254,11/20/2016,Low,Riverside
P104255,11/20/2016,Low,Orange
P104256,11/20/2016,Low,Ventura
P104257,11/20/2016,Low,Ventura
P106354,11/20/2016,High,San Bernadino
P108532,11/20/2016,High,Ventura
P108533,11/20/2016,High,San Bernadino
P108534,11/20/2016,High,Orange
P108535,11/20/2016,High,Riverside
P108536,11/20/2016,High,Riverside
P108537,11/20/2016,High,San Bernadino
P108538,11/20/2016,High,Ventura
P108539,11/20/2016,High,San Bernadino
P108540,11/20/2016,High,Los Angeles
P108541,11/20/2016,High,Los Angeles
P104259,11/21/2016,Low,Los Angeles
P104260,11/21/2016,Low,Los Angeles
P104262,11/21/2016,Low,San Bernadino
P104264,11/21/2016,Low,San Bernadino
P104266,11/21/2016,Low,San Bernadino
P104267,11/21/2016,Low,Los Angeles
P104268,11/21/2016,Low,Ventura
P106355,11/21/2016,High,Riverside
P106357,11/21/2016,High,Los Angeles
P108542,11/21/2016,High,San Bernadino
P108543,11/21/2016,High,Riverside
P108544,11/21/2016,High,Los Angeles
P108545,11/21/2016,High,Riverside
P108546,11/21/2016,High,Ventura
P108547,11/21/2016,High,San Bernadino
P104272,11/22/2016,Low,Riverside
P104273,11/22/2016,Low,Los Angeles
P104274,11/22/2016,Low,San Bernadino
P104276,11/22/2016,Low,Riverside
P104278,11/22/2016,Low,Los Angeles
P104279,11/22/2016,Low,Ventura
P104280,11/22/2016,Low,Los Angeles
P104281,11/22/2016,Low,Los Angeles
P104283,11/22/2016,Low,San Bernadino
P104284,11/22/2016,Low,Los Angeles
P106359,11/22/2016,High,Riverside
P108548,11/22/2016,High,Los Angeles
P108549,11/22/2016,High,Riverside
P108550,11/22/2016,High,Los Angeles
P108551,11/22/2016,High,Orange
P108552,11/22/2016,High,Los Angeles
P104287,11/23/2016,Low,Orange
P104291,11/23/2016,Low,Orange
P104292,11/23/2016,Low,Orange
P104294,11/23/2016,Low,Los Angeles
P104295,11/23/2016,Low,Orange
P104296,11/23/2016,Low,Ventura
P104299,11/23/2016,Low,Riverside
P106361,11/23/2016,High,Los Angeles
P108553,11/23/2016,High,Riverside
P108554,11/23/2016,High,Los Angeles
P104300,11/24/2016,Low,Los Angeles
P104302,11/24/2016,Low,Ventura
P104306,11/24/2016,Low,Riverside
P104307,11/24/2016,Low,Riverside
P104310,11/24/2016,Low,Los Angeles
P104311,11/24/2016,Low,Ventura
P106362,11/24/2016,High,San Bernadino
P106364,11/24/2016,High,Los Angeles
P108555,11/24/2016,High,Los Angeles
P108556,11/24/2016,High,Riverside
P108557,11/24/2016,High,Los Angeles
P108558,11/24/2016,High,San Bernadino
P108559,11/24/2016,High,Los Angeles
P104312,11/25/2016,Low,San Bernadino
P104313,11/25/2016,Low,Riverside
P104314,11/25/2016,Low,San Bernadino
P104315,11/25/2016,Low,Los Angeles
P104316,11/25/2016,Low,Orange
P104319,11/25/2016,Low,Ventura
P104322,11/25/2016,Low,Riverside
